Item inquiry,Informasi wajib,Contoh atau catatan
Perusahaan pembeli,Nama perusahaan dan contact person,Distributor atau pabrik pengolahan makanan
Negara tujuan,Negara dan kota,Indonesia / Thailand / Vietnam / Malaysia
Informasi mesin,Brand model dan nomor part OEM,Lampirkan foto nameplate bila ada
Tipe pisau,Circular bergerigi lurus dicing band saw atau custom,Pilih tipe paling dekat
Aplikasi makanan,Daging seafood sayuran bakery kemasan frozen food,Produk yang dipotong
Diameter luar atau panjang,Ukuran dalam mm,Untuk circular blade tulis OD
Lubang dalam,Ukuran dalam mm,Untuk disc tulis bore dan keyway
Tebal,Ukuran dalam mm,Ukur tebal body pisau
Slot dan pola baut,Jumlah lubang diameter PCD dan bentuk slot,Lampirkan drawing atau foto
Tipe edge,Single bevel double bevel serration pitch tooth form,Tulis arah bevel
Permintaan material,420 440C HSS D2 9CrSi carbide atau belum tahu,Pabrik dapat memberi rekomendasi
Target hardness,Nilai HRC atau hardness pisau saat ini,Opsional jika belum tahu
Finishing permukaan,Polished coated anti-rust atau standar,Kebutuhan food contact dan cleaning
Jumlah,Trial order dan pemakaian bulanan,Sertakan rencana stok spare part
Permintaan packing,Karton wooden case edge guard anti-rust bag private label,Catatan packing ekspor
Deadline pengiriman,Tanggal target dan incoterm,EXW FOB CIF DAP atau lainnya
Lampiran,Drawing foto pisau aus foto sampel,Kirim bersama email inquiry atau WhatsApp
