Позиция запроса,Обязательная информация,Пример или примечание
Компания покупателя,Название компании и контактное лицо,Дистрибьютор или пищевое производство
Страна назначения,Страна и город,Россия / Казахстан / Узбекистан / Беларусь
Информация о машине,Бренд модель и OEM номер детали,Приложите фото шильдика если есть
Тип ножа,Круглый зубчатый прямой кубикорез ленточный или нестандартный,Укажите ближайший тип
Пищевое применение,Мясо рыба овощи выпечка упаковка замороженные продукты,Продукт который режется
Наружный диаметр или длина,Размер в мм,Для круглых ножей укажите наружный диаметр
Внутреннее отверстие,Размер в мм,Для дисков укажите посадочное отверстие и шпонку
Толщина,Размер в мм,Измерьте толщину тела ножа
Пазы и схема крепежа,Количество отверстий диаметр PCD и форма пазов,Приложите чертеж или фото
Тип кромки,Односторонняя фаска двухсторонняя фаска шаг зуба форма зуба,Укажите направление фаски
Материал,420 440C HSS D2 9CrSi твердосплав или неизвестно,Завод может рекомендовать если неизвестно
Твердость,Значение HRC или твердость текущего ножа,Необязательно если неизвестно
Поверхность,Полировка покрытие антикоррозия или стандарт,Учитывайте контакт с пищей и мойку
Количество,Пробный заказ и месячное потребление,Укажите план запаса запчастей
Упаковка,Коробка деревянный ящик защита кромки антикоррозионный пакет private label,Экспортная упаковка
Срок поставки,Желаемая дата и Incoterm,EXW FOB CIF DAP или другое
Приложения,Чертеж фото изношенного ножа фото образца,Отправьте вместе с email или WhatsApp
